Timestamp,exp_inlet,exp_outlet,exp_heatgen,heatgen_m1,heatgen_m2,heatgen_m3,heatgen_m4,heatgen_m5,heatgen_m6,exp_flowrate,Tamb,exp_inlet,m6_in,m6_out,m5_in,m5_out,m4_in,m4_out,m3_in,m3_out,m2_in,m2_out,m1_in,m1_out,exp_outlet,DNI
46759,45.02642775,60.37544494,76.11885293,12.60105356,11.49952843,8.662046553,13.16802689,12.45395271,17.73424478,1.115780088,21.754625,44.1998665,41.88034177,44.64326005,44.65175432,47.09788509,46.75521266,48.57773677,48.44670024,51.53781976,50.92421258,53.57336472,53.37722021,56.62308491,56.62308491,667.489675
46769,45.05126639,59.05997302,63.73140311,10.53620326,9.840707247,6.88310965,12.33851137,11.33174509,12.80112649,1.11572999,21.7529412,44.22971769,41.91609787,44.71132724,44.65145956,47.02069511,46.82436471,48.47238869,48.51780017,51.43358437,50.96068386,53.60594798,53.46047724,56.47846235,56.47846235,667.7077562
46779,45.08068637,58.41517421,63.01144275,10.04040499,11.36465006,5.681911166,11.84852846,12.67696873,11.39897934,1.115671014,21.78708965,44.28630515,41.96067532,44.71700609,44.70689515,46.99325229,46.85098057,48.60447655,48.51049476,51.40013753,51.00120618,53.66419232,53.4973335,56.80749807,56.80749807,667.6076707
46789,45.11974858,58.96040893,68.68516098,12.06873215,11.85677577,6.104904523,12.42869278,12.67582109,13.55023467,1.115630185,21.77844243,44.31572523,42.00396351,44.70625218,44.73358657,47.10335123,46.84369832,48.74177951,48.56941623,51.63390245,51.02394199,53.80442355,53.52588894,56.88680165,56.88680165,668.172364
46799,45.14371799,59.34773584,72.02975312,12.33353223,11.67978774,7.501249253,12.87348985,12.26048322,15.38121082,1.115588873,21.77925371,44.34660878,42.03629645,44.66527505,44.77737387,47.16537697,46.89555747,48.70931141,48.57083192,51.64004964,51.0318959,53.75765147,53.51356356,56.67893377,56.67893377,665.3215054
46809,45.16450696,59.66281899,71.6289091,12.43009285,10.64408541,8.159678741,12.4719191,12.02435422,15.89877878,1.11555867,21.78776083,44.39377041,42.06836871,44.62162097,44.8016374,47.14187931,46.89580542,48.69487588,48.60925878,51.58596272,51.07296478,53.81283576,53.56672911,56.64276249,56.64276249,666.6700268
46819,45.18870712,59.9766482,72.97305386,12.37552154,11.36518058,7.693669488,13.03757128,11.89421869,16.60689227,1.115504481,21.77193137,44.43688204,42.09826008,44.71681454,44.83884481,47.25635909,46.97434427,48.6759531,48.65562206,51.55850929,51.09331495,53.74961987,53.59200179,56.80803791,56.80803791,667.2031142
46829,45.21731278,59.99620791,73.11303917,12.15625049,11.09385701,8.29345323,13.07929357,12.1199812,16.37020366,1.115459597,21.76697199,44.48267859,42.14424011,44.81196609,44.85834769,47.27514758,46.98001846,48.81240912,48.67778001,51.53778648,51.10325784,53.78543932,53.58841858,56.91415271,56.91415271,667.0429773
46839,45.24990564,60.04811412,71.28204513,12.25314897,10.94554827,8.017356139,12.41953169,11.93818408,15.70827598,1.115419527,21.76956182,44.52088494,42.18148632,44.76579284,44.9049246,47.29676514,47.01430642,48.80734938,48.70502302,51.60195195,51.13857481,53.78444855,53.58472554,57.15545326,57.15545326,667.6550796
46849,45.28336263,60.00665139,72.37571261,12.3911154,11.6629279,7.9049289,13.04951694,12.04294213,15.32428133,1.115342235,21.80915268,44.54607863,42.21665152,44.87433607,44.9516311,47.36531957,47.05958051,48.88418624,48.75272636,51.62994841,51.20288748,53.70973624,53.66155056,56.80643432,56.80643432,667.7920388
46859,45.30053302,60.35835316,73.2002323,12.00501131,11.15952215,8.15783978,13.20855078,12.07107331,16.59823497,1.115345757,21.82378554,44.57726853,42.24750347,44.93444451,44.97103171,47.35121988,47.08618696,48.8378025,48.76394011,51.53134323,51.19062938,53.7979178,53.64660899,56.76589262,56.76589262,667.4570155
46869,45.32115039,60.28872562,73.47709941,11.84801625,10.69626613,8.287176633,14.03227692,12.49880972,16.11455375,1.11528415,21.83268897,44.61748464,42.26486514,44.90802691,45.01984299,47.2751259,47.12971786,48.94745552,48.77172901,51.70279535,51.22321169,53.82054134,53.68364528,57.0116798,57.0116798,666.9492129
46879,45.35566357,60.27797729,73.2013135,12.83761259,11.67846747,8.051144243,12.71457247,11.8671094,16.05240732,1.115237738,21.83533646,44.65035678,42.31545363,45.08873103,45.02801471,47.30024295,47.14239943,48.96554093,48.82798997,51.63224821,51.22187568,53.80209604,53.72306608,57.04158979,57.04158979,667.7730753
46889,45.37278199,60.54116329,74.67160911,12.57094505,10.74918101,8.485822272,13.46406197,12.28200396,17.11959485,1.115210282,21.85390867,44.66588814,42.34783228,45.19839328,45.0605298,47.48487083,47.13867842,48.91145864,48.8224665,51.75005174,51.24815773,54.00844537,53.69864628,56.99383863,56.99383863,667.3063604
