Timestamp,exp_heatgen,heatgen_m6,heatgen_m5,heatgen_m4,heatgen_m3,heatgen_m2,heatgen_m1,exp_flowrate,exp_inlet,m6_in,m6_out,m5_in,m5_out,m4_in,m4_out,m3_in,m3_out,m2_in,m2_out,m1_in,m1_out,exp_outlet,Tamb,DNI
52398,54.04754723,9.946719398,6.687151212,4.497910434,11.54609902,10.15724084,11.21242633,3.161207263,53.60476684,52.14563962,52.83424235,52.99757924,53.40344629,53.28093075,53.52662848,53.485869,54.30717683,54.02534657,54.72016116,54.61214184,55.34992,55.34992,25.87906843,634.9936473
52408,54.14322905,10.11429332,6.578749209,4.13243557,11.52364701,10.97107674,10.82302721,3.160837895,53.64372558,52.20582365,52.88526793,53.00997192,53.43317647,53.28588909,53.52730753,53.49105193,54.34747023,54.00846581,54.77192159,54.63712538,55.38434134,55.38434134,25.86309024,633.4033307
52418,53.72127921,10.34090094,7.095651941,3.619694756,11.6895253,10.31585464,10.65965164,3.160569811,53.62643359,52.22405327,52.94994766,53.07962131,53.52645315,53.33255534,53.69263362,53.50415942,54.37655175,54.04588242,54.75756614,54.63852198,55.31982554,55.31982554,25.87366764,633.2702847
52428,53.03954985,10.37147431,7.106080789,3.899705788,11.41006485,9.981691188,10.27053293,3.160272759,53.67014167,52.22040551,52.94565652,53.08370055,53.50058114,53.3632089,53.64604844,53.54156545,54.33381137,54.07607296,54.8536756,54.64529804,55.37811377,55.37811377,25.87785915,631.7007566
52438,54.01390745,9.75655344,6.595892698,4.350361544,11.68012326,10.59596778,11.03500873,3.159984594,53.68878391,52.2443932,52.99511479,53.08207713,53.55097655,53.37172017,53.66176374,53.58903231,54.48006225,54.10866777,54.8624046,54.74314237,55.45050027,55.45050027,25.93700533,630.7787887
52448,54.57856443,9.790240456,6.991226357,3.965144792,11.2043433,11.56545798,11.06215154,3.15968198,53.72255474,52.25327122,53.01694744,53.1079766,53.57889542,53.40910057,53.67819728,53.60974492,54.46722979,54.13905377,54.87140142,54.76249111,55.48558729,55.48558729,25.9283746,630.8848098
52458,55.15438453,10.52189446,7.574338069,3.912474225,11.50068928,10.93975943,10.70522907,3.159417984,53.77775034,52.28577947,52.98867882,53.12963172,53.60887605,53.4379582,53.73452011,53.63161876,54.51047365,54.1816304,54.96908688,54.82665479,55.56682027,55.56682027,25.9297447,631.5656316
52468,53.09157446,9.669505362,6.896418808,4.221096878,10.87129272,10.91468389,10.5185768,3.159063497,53.83033192,52.31663374,53.08691639,53.14957421,53.61552754,53.45451907,53.75197873,53.6711451,54.52859966,54.22969781,54.94963285,54.87267959,55.64926374,55.64926374,25.90494988,631.1072463
52478,53.99159419,10.13037109,7.395480614,3.850498483,11.28589578,11.35223706,9.977111166,3.158770626,53.84258968,52.32842717,53.06908783,53.18278377,53.62238264,53.48389432,53.7721175,53.70569539,54.57618597,54.23249875,55.05075691,54.89190547,55.60145507,55.60145507,25.94683369,631.4866355
52488,54.55234024,10.28564503,7.114380297,3.962862838,11.6805383,10.43257423,11.07633956,3.158616358,53.89601974,52.36226485,53.04409939,53.2076306,53.69901172,53.5087367,53.80843839,53.72220355,54.54182398,54.26588382,55.0942511,54.96127903,55.70926219,55.70926219,25.96941647,632.0520814
