Timestamp,exp_heatgen,heatgen_m6,heatgen_m5,heatgen_m4,heatgen_m3,heatgen_m2,heatgen_m1,exp_inlet,m6_in,m6_out,m5_in,m5_out,m4_in,m4_out,m3_in,m3_out,m2_in,m2_out,m1_in,m1_out,exp_outlet,exp_flowrate,DNI,Tamb
53601,80.84676186,15.13800591,14.07319023,6.586326714,15.90385784,13.06969387,16.07568729,68.44014944,64.87320476,68.32245022,67.95742641,71.16405004,70.9492007,72.44991735,72.15453437,75.77828177,75.21331556,78.19128918,78.1125216,81.77542092,77.12169437,1.055834593,610.912305,26.49308268
53611,81.85952959,15.04700758,14.96398601,6.393973286,16.19541257,13.58355835,15.67559179,68.4911244,64.92811745,68.35706562,68.00773429,71.4177633,71.00015678,72.45723074,72.14707861,75.83772805,75.207427,78.30288084,78.00257941,81.57477085,77.1806955,1.055700041,610.1805515,26.51984822
53621,80.49103322,14.82449334,14.26386475,6.694575906,15.88408292,13.63577417,15.18824213,68.51958758,64.9729709,68.35164841,68.02298967,71.27389328,70.99168208,72.51745517,72.13010129,75.7502718,75.14346462,78.25121896,77.9305557,81.39213585,77.198626,1.055563678,610.3510168,26.57647584
53631,78.02494903,15.27106945,14.07731781,6.019646812,15.50609849,13.00561463,14.14520185,68.55688328,65.02003083,68.50070531,68.06185615,71.27044355,71.04597325,72.41800755,72.18595289,75.72019662,75.161943,78.12626133,77.87496851,81.09902844,77.22717438,1.05549787,610.8520185,26.51938293
53641,80.1260468,14.36529031,14.76524099,5.872851259,16.60714725,13.1086112,15.40690579,68.61050764,65.07679346,68.35128585,68.12690437,71.49256342,71.09823549,72.43692106,72.20844717,75.99395907,75.17100954,78.15904855,77.86747702,81.37940018,77.26085488,1.055411299,612.0390391,26.59220125
53651,77.59714743,14.61258917,14.30344862,5.772189864,15.47594113,13.10551913,14.32745952,68.67458191,65.12059802,68.45175208,68.16792281,71.42860375,71.14259264,72.458448,72.27719119,75.805159,75.20864413,78.19623947,77.91138023,81.17753481,77.2573195,1.05531904,611.2854577,26.60268117
53661,78.10863067,14.72026701,14.0495887,5.825537345,15.65883271,13.06395675,14.79044814,68.70479242,65.17173864,68.52778602,68.22254088,71.42568151,71.21732836,72.54548222,72.3073879,75.8774172,75.27888833,78.25731649,77.95142181,81.32346966,77.2555165,1.05521006,611.6721229,26.66201458
53671,77.38866162,15.20684234,13.45188478,6.191252128,15.46745854,12.83448135,14.23674247,68.74782902,65.22822108,68.69541377,68.25640156,71.32346016,71.22834683,72.6399656,72.38150956,75.90812331,75.28073071,78.20702,77.90895825,81.15496608,77.26004407,1.055145579,610.5526648,26.68660994
53681,78.20488458,15.03632104,14.50492551,5.958184495,15.5006794,13.25949903,13.9452751,68.7858609,65.2624448,68.69100656,68.29421291,71.60160658,71.29613038,72.65470762,72.38953866,75.92398279,75.33596991,78.35938311,78.00671835,81.18650129,77.22824349,1.055069165,610.3842783,26.67359038
53691,80.35880109,14.8900056,14.43314215,6.21878573,15.38772098,13.62560072,15.80354591,68.8213074,65.28937018,68.68480613,68.349365,71.64062029,71.30940886,72.72750695,72.43190631,75.94083857,75.35730058,78.46440852,78.00097489,81.60472961,77.23771591,1.054995573,609.8136353,26.70638267
53701,80.25398457,15.18551921,14.25931593,6.280111373,15.99586905,12.81021199,15.72295702,68.88727351,65.34995841,68.81303275,68.38421605,71.63606872,71.38519934,72.81738564,72.49023506,76.13811057,75.4310619,78.35244482,78.03983497,81.6254726,77.23741635,1.054919086,610.2429169,26.64322199
53711,78.36714425,15.19930972,13.75542875,6.027321167,15.72842086,13.33678604,14.31987772,68.92504519,65.39660382,68.86316505,68.43520048,71.57245059,71.43146233,72.80613514,72.50695578,76.09419329,75.38602623,78.42779499,78.07110062,81.33708664,77.23780172,1.054815026,609.033029,26.58248946
53721,76.98616548,13.8570169,13.78064156,6.274989656,15.13453676,13.06585652,14.87312408,68.9699811,65.43332619,68.59402033,68.47857305,71.62184648,71.44840911,72.87969285,72.55321498,76.00530297,75.42981959,78.41005526,78.06992035,81.46238183,77.26213007,1.054723431,608.0715631,26.49464051
53731,79.78180028,15.60679395,13.76474698,6.257809129,15.67183978,12.85394466,15.62666578,69.01579035,65.47297887,69.03306569,68.52841613,71.66831113,71.46936234,72.89683962,72.58132687,76.15625139,75.48612112,78.41825178,78.10250765,81.66712746,77.25757169,1.054640454,609.3614865,26.56499226
53741,79.90452891,16.31381726,13.93714163,6.446552589,15.1192793,13.02552545,15.06221269,69.06641065,65.52583846,69.24752016,68.56560777,71.74509691,71.53540768,73.0060639,72.647366,76.09653698,75.53604417,78.50756572,78.17302264,81.60917498,77.26296896,1.054551236,609.4612711,26.55526185
