Timestamp,exp_inlet,exp_outlet,exp_heatgen,heatgen_m6,heatgen_m5,heatgen_m4,heatgen_m3,heatgen_m2,heatgen_m1,exp_flowrate,m6_in,m6_out,m5_in,m5_out,m4_in,m4_out,m3_in,m3_out,m2_in,m2_out,m1_in,m1_out,Tamb,DNI,m2_T_WB,m3_T_WB
47660,57.86835517,64.36370238,61.30327267,11.3438364,8.775011142,5.266839637,11.21834471,16.77521541,7.924025359,1.619122025,56.3003848,57.99271567,58.01685505,59.32595559,59.17193081,59.95766458,59.70850329,61.38211268,60.90514217,63.40775364,63.18155621,64.36370238,25.33428143,649.7892774,84.17848498,72.67311941
47670,57.90240136,64.33693102,59.84734742,10.78156141,8.727741304,4.864864454,11.33325688,16.55147983,7.588443547,1.61900804,56.31750202,57.92606311,58.0172014,59.31934165,59.12894161,59.85475779,59.72501198,61.41588359,60.93532937,63.40473667,63.20476894,64.33693102,25.23766382,648.5766616,84.08438887,72.65698417
47680,57.92129238,64.45729376,60.14516837,11.08972203,8.631080301,4.756308363,10.86367783,16.57942314,8.224956704,1.618947953,56.31647424,57.97107294,58.02463423,59.31240088,59.15523171,59.86487813,59.73692871,61.35780137,60.93355373,63.40722186,63.2301212,64.45729376,25.31946781,646.7224446,84.07420003,72.64763494
47690,57.92452969,64.41077262,61.29532979,10.96645125,8.634025843,5.061688353,11.6154739,17.01204755,8.005642889,1.618936663,56.30585447,57.94207244,58.02562489,59.31384,59.14903672,59.90425144,59.71255239,61.44560592,60.92803643,63.46627029,63.21631359,64.41077262,25.38119126,648.961201,84.05492207,72.76554763
47700,57.94339795,64.52797293,61.92392114,11.1540135,8.895438799,5.360855683,11.14274326,16.76793089,8.602939009,1.618857719,56.30030203,57.96458584,58.02225191,59.34953512,59.12657982,59.92646996,59.73095655,61.39355874,60.91165417,63.41358731,63.24433344,64.52797293,25.40556225,646.8204231,84.01770596,72.70988296
47710,57.97437492,64.49254006,62.83137416,11.27937568,8.610513282,5.234115224,11.72975921,17.37366893,8.603941842,1.618745979,56.30654796,57.98965316,58.00672514,59.29158347,59.13306563,59.91409881,59.73429796,61.48460927,60.91499397,63.50748787,63.20866232,64.49254006,25.51545694,644.5015984,84.00521165,72.7102746
47720,58.00197341,64.41093385,60.75549994,10.53652372,8.527091905,5.155517812,11.46149409,17.18180743,7.893064983,1.618651982,56.32589434,57.89824269,58.05094723,59.32343133,59.16805918,59.93740875,59.73650876,61.44688894,60.92774911,63.49176238,63.23306456,64.41093385,25.48709094,648.654623,84.0627029,72.69594471
47730,58.02365849,64.45788911,62.04836627,11.41302519,8.803708098,5.179405899,11.82039099,16.52314792,8.308688167,1.618575203,56.30715394,58.01038197,58.00007002,59.31389543,59.1376408,59.91059181,59.6966696,61.46069106,60.91373211,63.37957165,63.21793823,64.45788911,25.50834973,651.9469117,84.15891432,72.72903178
47740,58.05793935,64.45981578,61.70692715,10.97158394,9.124951275,5.207552917,11.31583588,16.88852195,8.198481186,1.618468626,56.32066449,57.95812166,58.02626385,59.3881198,59.17684401,59.95404673,59.75090338,61.43973852,60.91947542,63.44000769,63.23623112,64.45981578,25.41197791,651.2083855,84.19111332,72.7845888
47750,58.09528507,64.44261459,61.59811926,11.05355853,8.967600019,5.207103847,11.94603808,16.4858644,7.937954381,1.618325048,56.3327967,57.98263455,58.05237777,59.39086853,59.17106074,59.94826538,59.75410063,61.53714867,60.94533245,63.40598827,63.25780722,64.44261459,25.3243625,650.0600352,84.22815001,72.76567303
